,Datetime,Tweet Id,Text,Username
0,2021-12-12 16:21:00+00:00,1470066162218188804,All the forces of darkness cannot stop what God has ordained. (Isaiah 14:27) The devil meant it for evil but God turned it around for our good. https://t.co/sfcqC2XVew,DiamondandSilk
1,2021-12-12 00:32:09+00:00,1469827378746736643,"Hey y'all... Get yours right now before they're all gone!

https://t.co/0Q74ZPMH8s",DiamondandSilk
2,2021-12-11 21:45:21+00:00,1469785400080220164,Save up to 66% now...  https://t.co/QXpKkphadu https://t.co/5eV7fTFaws,DiamondandSilk
3,2021-12-11 21:33:31+00:00,1469782421956665350,"If you could tell this CEO something to his face, what would you say?

https://t.co/E7IvN938sR",DiamondandSilk
4,2021-12-11 17:51:00+00:00,1469726423531327488,Do you think that Non Citizens should be allowed to vote?  Click Below To Let Us Know!  https://t.co/xVwSK2MLxW,DiamondandSilk
5,2021-12-11 11:16:03+00:00,1469627032489312259,"WOW....... GETTR Home for the Holidays Sweepstakes: Win a chance to have rent or mortgage covered for an entire year.🎄

Click Here: https://t.co/OPgmULTlzk",DiamondandSilk
6,2021-12-10 18:35:00+00:00,1469375108888203267,Get yours now before they're all gone.  https://t.co/QXpKkoZyOU https://t.co/xrX13aPt4t,DiamondandSilk
7,2021-12-10 17:21:41+00:00,1469356660401614853,"Diamond and Silk talk to (Kassandra) of Katts Remedies about their FurBabies!  See what she had to say!

https://t.co/hW26GYacOg",DiamondandSilk
8,2021-12-10 00:09:20+00:00,1469096857829793794,"Save up to 66% now!
https://t.co/QXpKkphadu https://t.co/Z1vGwzYUJ8",DiamondandSilk
9,2021-12-10 00:04:20+00:00,1469095599660310534,Well Reverend Al. You should be at Peace in knowing that Jussie Smollett's attacker has been found guilty. https://t.co/t0HYID4R2x,DiamondandSilk
10,2021-12-09 23:22:23+00:00,1469085043322671113,Guilty!,DiamondandSilk
11,2021-12-09 22:01:33+00:00,1469064699861946371,.@DiamondandSilk just went off about this..... https://t.co/4yQCviBTQF,DiamondandSilk
12,2021-12-09 01:24:18+00:00,1468753337671630849,@Beta_Guru Remove this picture before your account get suspended. We did not give you permission to use our faces!,DiamondandSilk
13,2021-12-09 01:21:45+00:00,1468752695741796358,"@TimFindleyJr @CMPiagentini Another Jealous black man who's upset that he can't get ahead. Don't blame us, blame Jim Crow Joe!",DiamondandSilk
14,2021-12-08 14:42:51+00:00,1468591911547981824,"Save up to 66% Now.
https://t.co/QXpKkoZyOU https://t.co/spNqSiQbx7",DiamondandSilk
15,2021-12-07 23:09:04+00:00,1468356919077257222,"Federal Judge Deals Blow to Biden’s ‘Unconstitutional’ Vaccine Mandate in Ruling for South Carolina.

https://t.co/vlxKBuGUt2",DiamondandSilk
16,2021-12-07 22:20:14+00:00,1468344627392655360,"Hey y'all... Get yours right now before they're all gone!

https://t.co/0Q74ZPMH8s",DiamondandSilk
17,2021-12-07 19:18:09+00:00,1468298807091863566,"Do you REJECT Jim Crow Joe Mandates? Click below to let us know.
https://t.co/kKu96AOtQ0",DiamondandSilk
18,2021-12-07 11:40:56+00:00,1468183743928098817,@RanmaOtherHalf Be careful before you get sued for slander!,DiamondandSilk
19,2021-12-07 10:13:57+00:00,1468161851955548160,We will not support anyone who abandoned President Trump in 2020!,DiamondandSilk
20,2021-12-07 00:53:50+00:00,1468020894312325122,Don Lemon Accuser Blasts CNN as 'Network Rife With Predators And Perverts' https://t.co/7nWJV67DMG,DiamondandSilk
