,Datetime,Tweet Id,Text,Username
0,2021-12-12 15:36:01+00:00,1470054841762332672,"New York liberals just did the unthinkable: Passed a law allowing NON CITIZENS to vote. Let's DEMAND the courts strike down this anti-American law. 
Sign up now and say enough is enough!!! https://t.co/Haad1dyVO4",DonaldJTrumpJr
1,2021-12-11 21:34:31+00:00,1469782674852265984,I heard from reliable inside sources that Joe Biden is not going to Army/Navy Game to avoid the Let’s Go Brandon chants!,DonaldJTrumpJr
2,2021-12-10 21:38:52+00:00,1469421382438199297,"NYC liberals just did the unthinkable: Passed a law allowing NON CITIZENS to vote. Let's DEMAND the courts strike down this anti-American law. 
Sign up now and say enough is enough!!! https://t.co/Haad1dyVO4",DonaldJTrumpJr
3,2021-12-10 14:51:35+00:00,1469318883215618054,I was told the media was just being super unfair to Biden just yesterday? Guess not. Economy is going great guys. Nothing to see here just one day later. https://t.co/6jDjjgp7xE https://t.co/DLY6oZLzw3,DonaldJTrumpJr
4,2021-12-10 14:40:51+00:00,1469316182121590787,"Yea, I called this one really early. We all thought it but I said it out loud. It was so obvious and they tried to go after me but I stuck to my guns and doubled down. There’s a lesson here if you’re unafraid. https://t.co/euVzY7ttri",DonaldJTrumpJr
5,2021-12-10 01:12:54+00:00,1469112857375776773,He was right after all!!! https://t.co/EfhmtemdS5,DonaldJTrumpJr
6,2021-12-10 00:55:59+00:00,1469108597820899330,How long until CNN labels the Smollett jury white supremacists?,DonaldJTrumpJr
7,2021-12-10 00:04:55+00:00,1469095750097383430,"I’m just happy to live in a country where people will go to jail for attacking a gay black man... 
There’s absolutely no place for that shit in America, or anywhere else, and I am happy the perpetrator was brought to justice.",DonaldJTrumpJr
8,2021-12-09 23:45:44+00:00,1469090921425817601,"I’m with you Al, I think all of America is with you on this one. 

The guilty must face the maximum. https://t.co/r8mBoyRuRi",DonaldJTrumpJr
9,2021-12-09 23:33:25+00:00,1469087819595407364,We finally got #justiceforjussie,DonaldJTrumpJr
10,2021-12-09 18:21:10+00:00,1469009241008750594,"Biden is a Russian Stooge! That’s how this works, right? Also, unfortunately, in this case it seems real unlike the Russia Russia Russia BS of the last 5 years. 

REPORT: Biden Admin Plans On Advising Ukraine To Hand Over Territory To Russia https://t.co/Alzd7CE2TC",DonaldJTrumpJr
11,2021-12-09 16:02:52+00:00,1468974437911314433,Yes he is that dumb! https://t.co/gWEosdtGGf,DonaldJTrumpJr
12,2021-12-09 03:18:29+00:00,1468782072915382273,I wonder why??? https://t.co/36CmArDmg4,DonaldJTrumpJr
13,2021-12-08 23:57:36+00:00,1468731520819019784,"I would say that the only masterclass Hillary Clinton is qualified to teach is one on how to never become President of the United States, but she’s probably qualified to teach one on how Epstein totally “killed himself” too 😉🤣 https://t.co/zCfjVTBWjy",DonaldJTrumpJr
14,2021-12-08 22:39:41+00:00,1468711911873298432,"The FDA saying it needs 75 years to fully release vaccine data is not a great way to sell the vaccine to those who are skeptical. Why on earth would it take this long?

FDA Says It'll Take 75 Years to Fully Release Pfizer Vaccine Data https://t.co/zDWxmxjtlz",DonaldJTrumpJr
15,2021-12-08 14:36:13+00:00,1468590242739404807,"Liz Cheney stands with Pelosi and Biden, not Wyoming.

@HagemanforWY will defend Wyoming against Pelosi, Biden and the radical left, instead of colluding with them!!! https://t.co/3KvGPlqVvl",DonaldJTrumpJr
16,2021-12-08 00:07:20+00:00,1468371581219053568,"Winning by 38 seconds! Crushing records! Proud of my alma mater for using that Wharton ingenuity to figure out how to dominate women’s sports!

ALWAYS INNOVATE! https://t.co/blS5MUNIRA",DonaldJTrumpJr
17,2021-12-07 23:16:25+00:00,1468358765833555969,Seems the norm at CNN is for their “reporters” to insert themselves into the story to change it for the benefit of their narrative. They are the fakest of the fake news. https://t.co/TqTHwnzfd5,DonaldJTrumpJr
18,2021-12-07 23:14:05+00:00,1468358180732379143,Personally signed and customized Christmas/Hanukkah/Kwanza copies of  LIBERAL PRIVILEGE. Signed by me made out to your MAGA loved ones for the holiday of your choosing. Check it out!!! https://t.co/eoBwcfjj3j,DonaldJTrumpJr
19,2021-12-07 16:06:23+00:00,1468250544036888581,Instant Meme. https://t.co/L0oWeODOnA,DonaldJTrumpJr
20,2021-12-07 14:19:37+00:00,1468223676126580738,In all fairness only Idiot Democrats and The Hollywood elite actually believed him. https://t.co/EPypJe72f4,DonaldJTrumpJr
21,2021-12-07 13:49:27+00:00,1468216086797635588,"Are there people human anymore or have they morphed into the robots they want us to all become?

If you blindly follow along like lemmings you too can have a quite fulfilling and relatively satisfactory holiday season. https://t.co/c1cO6XPs75",DonaldJTrumpJr
22,2021-12-05 15:10:31+00:00,1467511708549890053,What really makes me laugh is thinking about girls on the team who probably spew anti-MAGA stuff all day (as per the rules of woke edu) and then one day wake up to a former dude being on their team and kicking their ass. https://t.co/RmitaN36UH,DonaldJTrumpJr
23,2021-12-05 15:05:14+00:00,1467510381144911881,I trust @joerogan much more than I trust Anthony Fauci.,DonaldJTrumpJr
